epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,14901.6,1.51011,0.90895,1.4569,0.91557,0.86704,0.94353,0.55404,1.39117,0.6969,1.34235,0.00972478,0.00972478,0.00972478
141,15033.8,1.46948,0.83567,1.41108,0.91915,0.87367,0.94802,0.55938,1.36786,0.68349,1.33656,0.0097228,0.0097228,0.0097228
142,15165.9,1.47843,0.84327,1.41602,0.92332,0.88275,0.94882,0.56219,1.38424,0.69073,1.35054,0.00972082,0.00972082,0.00972082
143,15298.1,1.45579,0.83553,1.41967,0.91816,0.88105,0.94918,0.56464,1.36792,0.68713,1.33804,0.00971884,0.00971884,0.00971884
144,15430.2,1.46243,0.83623,1.41893,0.92454,0.88945,0.95438,0.57086,1.36256,0.67578,1.32903,0.00971686,0.00971686,0.00971686
145,15562.2,1.47446,0.84785,1.42125,0.93537,0.88254,0.95305,0.56816,1.3629,0.67136,1.3269,0.00971488,0.00971488,0.00971488
146,15694.1,1.47131,0.8609,1.43021,0.92202,0.87278,0.94262,0.53906,1.41202,0.69634,1.35274,0.0097129,0.0097129,0.0097129
147,15826.1,1.46454,0.83362,1.42113,0.91732,0.87311,0.94416,0.55731,1.3804,0.68138,1.33374,0.00971092,0.00971092,0.00971092
148,15957.8,1.46042,0.85203,1.44103,0.92671,0.88001,0.94996,0.56237,1.36732,0.66623,1.32902,0.00970894,0.00970894,0.00970894
149,16089.5,1.45778,0.84882,1.42491,0.92352,0.87614,0.9481,0.56686,1.3529,0.67316,1.31803,0.00970696,0.00970696,0.00970696
150,16221.2,1.45562,0.84499,1.40224,0.92381,0.88071,0.95087,0.56676,1.35969,0.67098,1.32705,0.00970498,0.00970498,0.00970498
151,16353.1,1.45714,0.81271,1.41115,0.9235,0.8785,0.95057,0.56552,1.35992,0.66676,1.33973,0.009703,0.009703,0.009703
152,16485,1.47897,0.87336,1.42828,0.92122,0.88675,0.95228,0.56428,1.36661,0.66697,1.33619,0.00970102,0.00970102,0.00970102
153,16617,1.46283,0.83795,1.40945,0.91227,0.88288,0.95094,0.57306,1.33265,0.66908,1.31439,0.00969904,0.00969904,0.00969904
154,16748.8,1.44203,0.82232,1.39708,0.90829,0.88001,0.94777,0.57085,1.3372,0.66111,1.31061,0.00969706,0.00969706,0.00969706
155,16880.6,1.47916,0.82414,1.39718,0.91245,0.87428,0.94478,0.56483,1.35539,0.67815,1.3217,0.00969508,0.00969508,0.00969508
156,17012.1,1.46642,0.8463,1.41249,0.92422,0.88692,0.95287,0.57863,1.33374,0.65783,1.30692,0.0096931,0.0096931,0.0096931
157,17143.5,1.42324,0.82066,1.39703,0.92691,0.89552,0.95608,0.56128,1.36431,0.65769,1.32744,0.00969112,0.00969112,0.00969112
